epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5489.96,1.57318,0.85332,0.97386,0.42732,0.18086,0.20954,0.06778,2.70041,1.49179,1.34302,0.0019293,0.0019293,0.0019293
43,5615.83,1.65219,0.89022,0.98138,0.42515,0.18031,0.20525,0.0646,2.69682,1.50611,1.32753,0.0018843,0.0018843,0.0018843
44,5728.73,1.55536,0.83954,0.9667,0.41643,0.17687,0.20199,0.06507,2.70721,1.50441,1.3492,0.00183894,0.00183894,0.00183894
45,5859.15,1.58137,0.85317,0.97088,0.43272,0.18614,0.21402,0.07124,2.67091,1.4907,1.32796,0.00179326,0.00179326,0.00179326
46,5973.48,1.55984,0.83764,0.96819,0.41102,0.17814,0.20371,0.06501,2.72489,1.49715,1.35535,0.00174731,0.00174731,0.00174731
47,6129.11,1.57075,0.8503,0.97287,0.42993,0.18009,0.20955,0.06748,2.70894,1.49212,1.34468,0.00170112,0.00170112,0.00170112
48,6267.59,1.54224,0.83106,0.96938,0.42558,0.17891,0.20502,0.06412,2.74258,1.48793,1.36242,0.00165475,0.00165475,0.00165475
49,6418.77,1.53377,0.82688,0.96306,0.43165,0.18157,0.21238,0.0682,2.70978,1.48805,1.34217,0.00160824,0.00160824,0.00160824
50,6564.3,1.53509,0.82577,0.96461,0.43891,0.18075,0.21214,0.06779,2.71174,1.46579,1.36006,0.00156164,0.00156164,0.00156164
51,6708.52,1.51393,0.81837,0.96844,0.43677,0.18058,0.21232,0.06739,2.72571,1.45882,1.37334,0.001515,0.001515,0.001515
52,6842.7,1.53327,0.82386,0.96804,0.43087,0.18115,0.21102,0.06766,2.73438,1.4732,1.36896,0.00146836,0.00146836,0.00146836
53,6973.92,1.47554,0.79261,0.95531,0.43518,0.18083,0.20923,0.06623,2.73003,1.46309,1.36738,0.00142176,0.00142176,0.00142176
54,7123.72,1.4557,0.78111,0.95156,0.42461,0.17825,0.20555,0.06525,2.74588,1.47896,1.3775,0.00137525,0.00137525,0.00137525
55,7260.02,1.46464,0.78292,0.95307,0.42673,0.18078,0.20814,0.06637,2.74402,1.47012,1.38325,0.00132888,0.00132888,0.00132888
56,7400.96,1.46877,0.78962,0.95749,0.43747,0.18164,0.20611,0.06453,2.7473,1.47424,1.38305,0.00128269,0.00128269,0.00128269
57,7553.26,1.45872,0.78857,0.95518,0.43642,0.18032,0.20825,0.06531,2.75067,1.47715,1.37052,0.00123674,0.00123674,0.00123674
58,7692.9,1.44801,0.78262,0.95344,0.42751,0.17971,0.20813,0.06663,2.73341,1.46966,1.36613,0.00119106,0.00119106,0.00119106
59,7824.13,1.4489,0.78401,0.95774,0.44974,0.18573,0.21579,0.06861,2.73642,1.46709,1.37211,0.0011457,0.0011457,0.0011457
60,7955.96,1.39658,0.74497,0.93761,0.44046,0.17943,0.21098,0.06876,2.76084,1.44932,1.40044,0.0011007,0.0011007,0.0011007
61,8087.81,1.43837,0.77312,0.95046,0.44398,0.18306,0.21519,0.06902,2.74825,1.45758,1.38214,0.00105611,0.00105611,0.00105611
62,8194.6,1.38557,0.74591,0.94394,0.43566,0.17903,0.21014,0.06756,2.73199,1.47,1.37289,0.00101197,0.00101197,0.00101197
63,8330.97,1.42162,0.76304,0.94311,0.45032,0.18428,0.21594,0.06822,2.72596,1.46218,1.36481,0.000968335,0.000968335,0.000968335
64,8464.1,1.39251,0.75294,0.94824,0.42732,0.18042,0.20815,0.06621,2.74763,1.47715,1.38133,0.000925235,0.000925235,0.000925235
65,8608.23,1.41205,0.75444,0.94344,0.42488,0.17619,0.20503,0.06474,2.77179,1.48112,1.39436,0.000882718,0.000882718,0.000882718
66,8743.71,1.37121,0.73368,0.93728,0.43414,0.17795,0.20723,0.06637,2.77372,1.45558,1.40677,0.000840824,0.000840824,0.000840824
67,8890.26,1.3959,0.74426,0.93672,0.43945,0.18234,0.21296,0.06862,2.75935,1.45619,1.38755,0.000799596,0.000799596,0.000799596
68,9023.39,1.39152,0.75461,0.94815,0.43036,0.17969,0.20757,0.06667,2.75613,1.47198,1.38534,0.000759073,0.000759073,0.000759073
69,9164.93,1.3872,0.74109,0.9412,0.43121,0.17951,0.21078,0.06811,2.75453,1.45727,1.39663,0.000719297,0.000719297,0.000719297
70,9303.43,1.37024,0.73036,0.93633,0.437,0.18299,0.2118,0.06667,2.75792,1.44936,1.39513,0.000680306,0.000680306,0.000680306
71,9450.52,1.39346,0.74399,0.94577,0.44121,0.17814,0.21043,0.06655,2.75973,1.4557,1.39329,0.000642139,0.000642139,0.000642139
72,9578.62,1.3939,0.75009,0.94565,0.42954,0.17978,0.20893,0.0659,2.77434,1.46608,1.40056,0.000604833,0.000604833,0.000604833
73,9710.52,1.35942,0.72355,0.93089,0.44345,0.18149,0.21385,0.06799,2.77607,1.44352,1.40345,0.000568425,0.000568425,0.000568425
74,9848.95,1.40658,0.75563,0.94731,0.44192,0.18139,0.21135,0.06655,2.78399,1.44095,1.40466,0.000532952,0.000532952,0.000532952
75,9977.65,1.36576,0.73041,0.93475,0.45303,0.1881,0.22065,0.06981,2.75458,1.44367,1.39356,0.000498448,0.000498448,0.000498448
76,10128,1.3761,0.7414,0.93627,0.4474,0.18426,0.21598,0.06819,2.76887,1.43888,1.41193,0.000464946,0.000464946,0.000464946
77,10255,1.34778,0.71827,0.92909,0.42508,0.17794,0.20742,0.06624,2.78608,1.45568,1.41803,0.000432482,0.000432482,0.000432482
78,10391.3,1.30469,0.69956,0.92674,0.43828,0.18105,0.21169,0.06657,2.78292,1.46343,1.41146,0.000401085,0.000401085,0.000401085
79,10531.9,1.36317,0.72839,0.93373,0.43355,0.17985,0.21021,0.06675,2.78888,1.46385,1.41515,0.000370788,0.000370788,0.000370788
80,10665.8,1.33977,0.71676,0.92875,0.429,0.17882,0.20835,0.06636,2.77786,1.45748,1.40882,0.00034162,0.00034162,0.00034162
81,10801.9,1.33148,0.7136,0.93082,0.4418,0.18333,0.21445,0.06843,2.78126,1.43842,1.42251,0.00031361,0.00031361,0.00031361
